"niveaux";"trimestres";"label";"date";"first_date";"Etat";"Part des articles"
"Maternelle PS";"1er trimestre";"Maternelle PS - 1er trimestre";2011-09-01;2011-09-01;"Conservé";1
"Maternelle PS";"1er trimestre";"Maternelle PS - 1er trimestre";2011-09-01;2011-09-01;"Modifié";NA
"Maternelle PS";"1er trimestre";"Maternelle PS - 1er trimestre";2011-09-01;2011-09-01;"Supprimé";NA
"Maternelle PS";"1er trimestre";"Maternelle PS - 1er trimestre";2011-09-01;2011-09-01;"Ajouté";NA
"Maternelle PS";"2ème trimestre";"Maternelle PS - 2ème trimestre";2011-12-01;2011-09-01;"Conservé";0,98483929654336
"Maternelle PS";"2ème trimestre";"Maternelle PS - 2ème trimestre";2011-12-01;2011-09-01;"Modifié";0,0121285627653123
"Maternelle PS";"2ème trimestre";"Maternelle PS - 2ème trimestre";2011-12-01;2011-09-01;"Supprimé";0,00242571255306246
"Maternelle PS";"2ème trimestre";"Maternelle PS - 2ème trimestre";2011-12-01;2011-09-01;"Ajouté";0,000606428138265616
"Maternelle PS";"3ème trimestre";"Maternelle PS - 3ème trimestre";2012-03-01;2011-09-01;"Conservé";0,91412156032658
"Maternelle PS";"3ème trimestre";"Maternelle PS - 3ème trimestre";2012-03-01;2011-09-01;"Modifié";0,0698518294526761
"Maternelle PS";"3ème trimestre";"Maternelle PS - 3ème trimestre";2012-03-01;2011-09-01;"Supprimé";0,0127003326277593
"Maternelle PS";"3ème trimestre";"Maternelle PS - 3ème trimestre";2012-03-01;2011-09-01;"Ajouté";0,00332627759298458
"Maternelle PS";"grandes vacances";"Maternelle PS - grandes vacances";2012-06-01;2011-09-01;"Conservé";0,907613602166717
"Maternelle PS";"grandes vacances";"Maternelle PS - grandes vacances";2012-06-01;2011-09-01;"Modifié";0,0719229611796569
"Maternelle PS";"grandes vacances";"Maternelle PS - grandes vacances";2012-06-01;2011-09-01;"Supprimé";0,0126391814625339
"Maternelle PS";"grandes vacances";"Maternelle PS - grandes vacances";2012-06-01;2011-09-01;"Ajouté";0,00782425519109239
"Maternelle GS";"1er trimestre";"Maternelle GS - 1er trimestre";2012-09-01;2011-09-01;"Conservé";0,901742788461538
"Maternelle GS";"1er trimestre";"Maternelle GS - 1er trimestre";2012-09-01;2011-09-01;"Modifié";0,0760216346153846
"Maternelle GS";"1er trimestre";"Maternelle GS - 1er trimestre";2012-09-01;2011-09-01;"Supprimé";0,0129206730769231
"Maternelle GS";"1er trimestre";"Maternelle GS - 1er trimestre";2012-09-01;2011-09-01;"Ajouté";0,00931490384615385
"Maternelle GS";"2ème trimestre";"Maternelle GS - 2ème trimestre";2012-12-01;2011-09-01;"Conservé";0,895132211538462
"Maternelle GS";"2ème trimestre";"Maternelle GS - 2ème trimestre";2012-12-01;2011-09-01;"Modifié";0,0826322115384615
"Maternelle GS";"2ème trimestre";"Maternelle GS - 2ème trimestre";2012-12-01;2011-09-01;"Supprimé";0,0129206730769231
"Maternelle GS";"2ème trimestre";"Maternelle GS - 2ème trimestre";2012-12-01;2011-09-01;"Ajouté";0,00931490384615385
"Maternelle GS";"3ème trimestre";"Maternelle GS - 3ème trimestre";2013-03-01;2011-09-01;"Conservé";0,880444577951337
"Maternelle GS";"3ème trimestre";"Maternelle GS - 3ème trimestre";2013-03-01;2011-09-01;"Modifié";0,0946230099128867
"Maternelle GS";"3ème trimestre";"Maternelle GS - 3ème trimestre";2013-03-01;2011-09-01;"Supprimé";0,0153199158906579
"Maternelle GS";"3ème trimestre";"Maternelle GS - 3ème trimestre";2013-03-01;2011-09-01;"Ajouté";0,00961249624511865
"Maternelle GS";"grandes vacances";"Maternelle GS - grandes vacances";2013-06-01;2011-09-01;"Conservé";0,875037548813458
"Maternelle GS";"grandes vacances";"Maternelle GS - grandes vacances";2013-06-01;2011-09-01;"Modifié";0,0955241814358666
"Maternelle GS";"grandes vacances";"Maternelle GS - grandes vacances";2013-06-01;2011-09-01;"Supprimé";0,0198257735055572
"Maternelle GS";"grandes vacances";"Maternelle GS - grandes vacances";2013-06-01;2011-09-01;"Ajouté";0,00961249624511865
"CP";"1er trimestre";"CP - 1er trimestre";2013-09-01;2011-09-01;"Conservé";0,603654410106023
"CP";"1er trimestre";"CP - 1er trimestre";2013-09-01;2011-09-01;"Modifié";0,115722986690729
"CP";"1er trimestre";"CP - 1er trimestre";2013-09-01;2011-09-01;"Supprimé";0,0248138957816377
"CP";"1er trimestre";"CP - 1er trimestre";2013-09-01;2011-09-01;"Ajouté";0,255808707421611
"CP";"2ème trimestre";"CP - 2ème trimestre";2013-12-01;2011-09-01;"Conservé";0,60045045045045
"CP";"2ème trimestre";"CP - 2ème trimestre";2013-12-01;2011-09-01;"Modifié";0,119594594594595
"CP";"2ème trimestre";"CP - 2ème trimestre";2013-12-01;2011-09-01;"Supprimé";0,022972972972973
"CP";"2ème trimestre";"CP - 2ème trimestre";2013-12-01;2011-09-01;"Ajouté";0,256981981981982
"CP";"3ème trimestre";"CP - 3ème trimestre";2014-03-01;2011-09-01;"Conservé";0,585543766578249
"CP";"3ème trimestre";"CP - 3ème trimestre";2014-03-01;2011-09-01;"Modifié";0,120468611847922
"CP";"3ème trimestre";"CP - 3ème trimestre";2014-03-01;2011-09-01;"Supprimé";0,023209549071618
"CP";"3ème trimestre";"CP - 3ème trimestre";2014-03-01;2011-09-01;"Ajouté";0,27077807250221
"CP";"grandes vacances";"CP - grandes vacances";2014-06-01;2011-09-01;"Conservé";0,576779026217228
"CP";"grandes vacances";"CP - grandes vacances";2014-06-01;2011-09-01;"Modifié";0,126679885437321
"CP";"grandes vacances";"CP - grandes vacances";2014-06-01;2011-09-01;"Supprimé";0,0233531614893148
"CP";"grandes vacances";"CP - grandes vacances";2014-06-01;2011-09-01;"Ajouté";0,273187926856136
"CE1";"1er trimestre";"CE1 - 1er trimestre";2014-09-01;2011-09-01;"Conservé";0,561012879283999
"CE1";"1er trimestre";"CE1 - 1er trimestre";2014-09-01;2011-09-01;"Modifié";0,135341628465401
"CE1";"1er trimestre";"CE1 - 1er trimestre";2014-09-01;2011-09-01;"Supprimé";0,0253219820999782
