"code";"partie";"président";"progression";"Nombre_versions";"Nombre_modifications";"Données"
"Code de l'aviation civile";"Réglementaire";"de Gaulle 2";1;2;247;"Consolidées"
"Code de l'aviation civile";"Législative";"de Gaulle 2";1;2;113;"Consolidées"
"Code de l'aviation civile";"Législative";"Pompidou";1;5;28;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Pompidou";1;15;80;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Giscard";1;15;75;"Consolidées"
"Code de l'aviation civile";"Législative";"Giscard";1;5;17;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Mitterand";1;22;105;"Consolidées"
"Code de l'aviation civile";"Législative";"Mitterand";1;5;15;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Mitterand 2";1;35;142;"Consolidées"
"Code de l'aviation civile";"Législative";"Mitterand 2";1;5;45;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Chirac";1;40;309;"Consolidées"
"Code de l'aviation civile";"Législative";"Chirac";1;12;87;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Chirac 2";1;47;452;"Consolidées"
"Code de l'aviation civile";"Législative";"Chirac 2";1;17;87;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Sarkozy";1;35;234;"Consolidées"
"Code de l'aviation civile";"Législative";"Sarkozy";1;14;245;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Hollande";1;25;199;"Consolidées"
"Code de l'aviation civile";"Législative";"Hollande";1;1;1;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Macron";1;38;246;"Consolidées"
"Code de l'aviation civile";"Législative";"Macron";1;3;3;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Macron 2";0,666392881587954;11;895;"Consolidées"
"Code de l'aviation civile";"Législative";"Macron 2";0,666392881587954;2;39;"Consolidées"
"Code de l'aviation civile";"Réglementaire";"Macron 2";0,666392881587954;3,66967830253251;895;"Projections"
"Code de l'aviation civile";"Législative";"Macron 2";0,666392881587954;0,667214236824093;39;"Projections"
