"code";"partie";"président";"versions"
"Code de l'action sociale et des familles";"Réglementaire";"Sarkozy";116
"Code de l'action sociale et des familles";"Réglementaire";"Hollande";107
"Code de l'action sociale et des familles";"Réglementaire";"Macron";92
"Code de l'action sociale et des familles";"Réglementaire";"Macron 2";78
"Code de l'action sociale et des familles";"Réglementaire";"Chirac 2";101
"Code de l'action sociale et des familles";"Législative";"Chirac";10
"Code de l'action sociale et des familles";"Législative";"Chirac 2";55
"Code de l'action sociale et des familles";"Législative";"Hollande";59
"Code de l'action sociale et des familles";"Législative";"Sarkozy";52
"Code de l'action sociale et des familles";"Législative";"Macron";61
"Code de l'action sociale et des familles";"Législative";"Macron 2";35
"Code de l'artisanat";"Réglementaire";"Avant Ve";5
"Code de l'artisanat";"Réglementaire";"Mitterand";2
"Code de l'artisanat";"Réglementaire";"Mitterand 2";7
"Code de l'artisanat";"Réglementaire";"Chirac";2
"Code de l'artisanat";"Réglementaire";"Chirac 2";4
"Code de l'artisanat";"Réglementaire";"Sarkozy";7
"Code de l'artisanat";"Réglementaire";"Hollande";17
"Code de l'artisanat";"Réglementaire";"Macron";10
"Code de l'artisanat";"Réglementaire";"de Gaulle 2";2
"Code de l'artisanat";"Réglementaire";"Macron 2";5
"Code de l'artisanat";"Réglementaire";"Giscard";1
"Code de l'artisanat";"Réglementaire";"de Gaulle";2
"Code de l'artisanat";"Réglementaire";"Pompidou";1
"Code de l'artisanat";"Législative";"Macron 2";1
"Code des assurances";"Réglementaire";"Sarkozy";58
"Code des assurances";"Réglementaire";"Hollande";55
"Code des assurances";"Réglementaire";"Macron 2";31
"Code des assurances";"Réglementaire";"Chirac 2";65
"Code des assurances";"Réglementaire";"Giscard";33
"Code des assurances";"Réglementaire";"Mitterand 2";75
"Code des assurances";"Réglementaire";"Mitterand";64
"Code des assurances";"Réglementaire";"Chirac";49
"Code des assurances";"Réglementaire";"Macron";61
"Code des assurances";"Législative";"Chirac 2";37
"Code des assurances";"Législative";"Sarkozy";46
"Code des assurances";"Législative";"Hollande";36
"Code des assurances";"Législative";"Giscard";5
"Code des assurances";"Législative";"Mitterand 2";27
"Code des assurances";"Législative";"Macron";43
"Code des assurances";"Législative";"Mitterand";14
"Code des assurances";"Législative";"Chirac";25
"Code des assurances";"Législative";"Macron 2";21
"Code de l'aviation civile";"Réglementaire";"Chirac 2";45
"Code de l'aviation civile";"Réglementaire";"Mitterand 2";32
"Code de l'aviation civile";"Réglementaire";"Chirac";38
"Code de l'aviation civile";"Réglementaire";"Macron";38
"Code de l'aviation civile";"Réglementaire";"Pompidou";15
"Code de l'aviation civile";"Réglementaire";"Giscard";14
"Code de l'aviation civile";"Réglementaire";"Sarkozy";31
"Code de l'aviation civile";"Réglementaire";"Mitterand";22
"Code de l'aviation civile";"Réglementaire";"de Gaulle 2";2
"Code de l'aviation civile";"Réglementaire";"Macron 2";9
"Code de l'aviation civile";"Réglementaire";"Hollande";24
"Code de l'aviation civile";"Législative";"de Gaulle 2";2
"Code de l'aviation civile";"Législative";"Pompidou";5
"Code de l'aviation civile";"Législative";"Chirac";12
"Code de l'aviation civile";"Législative";"Giscard";5
"Code de l'aviation civile";"Législative";"Macron";3
"Code de l'aviation civile";"Législative";"Mitterand";5
"Code de l'aviation civile";"Législative";"Chirac 2";17
"Code de l'aviation civile";"Législative";"Sarkozy";12
"Code de l'aviation civile";"Législative";"Mitterand 2";3
"Code de l'aviation civile";"Législative";"Hollande";1
"Code du cinéma et de l'image animée";"Réglementaire";"Macron 2";27
"Code du cinéma et de l'image animée";"Réglementaire";"Hollande";27
"Code du cinéma et de l'image animée";"Réglementaire";"Macron";45
"Code du cinéma et de l'image animée";"Législative";"Sarkozy";11
"Code du cinéma et de l'image animée";"Législative";"Hollande";16
"Code du cinéma et de l'image animée";"Législative";"Macron";10
"Code du cinéma et de l'image animée";"Législative";"Macron 2";3
"Code civil";"Réglementaire";"Avant Ve";87
"Code civil";"Réglementaire";"Chirac 2";38
"Code civil";"Réglementaire";"Pompidou";14
"Code civil";"Réglementaire";"Hollande";35
"Code civil";"Réglementaire";"de Gaulle 2";21
"Code civil";"Réglementaire";"Macron";35
"Code civil";"Réglementaire";"Giscard";19
"Code civil";"Réglementaire";"Macron 2";20
"Code civil";"Réglementaire";"de Gaulle";12
"Code civil";"Réglementaire";"Chirac";31
"Code civil";"Réglementaire";"Mitterand";17
"Code civil";"Réglementaire";"Sarkozy";38
"Code civil";"Réglementaire";"Mitterand 2";23
"Code de la commande publique";"Réglementaire";"Macron";13
"Code de la commande publique";"Réglementaire";"Macron 2";8
"Code de la commande publique";"Législative";"Macron";16
"Code de la commande publique";"Législative";"Macron 2";15
"Code de commerce";"Réglementaire";"Hollande";129
"Code de commerce";"Réglementaire";"Sarkozy";137
"Code de commerce";"Réglementaire";"Macron 2";93
"Code de commerce";"Réglementaire";"Macron";148
"Code de commerce";"Réglementaire";"Chirac 2";7
"Code de commerce";"Législative";"Chirac";10
