"partie";"président";"versions"
"Réglementaire";"Sarkozy";1093
"Réglementaire";"Hollande";1072
"Réglementaire";"Macron";1074
"Réglementaire";"Macron 2";738
"Réglementaire";"Chirac 2";897
"Législative";"Chirac";220
"Législative";"Chirac 2";252
"Législative";"Hollande";390
"Législative";"Sarkozy";335
"Législative";"Macron";376
"Législative";"Macron 2";228
"Réglementaire";"Avant Ve";201
"Réglementaire";"Mitterand";742
"Réglementaire";"Mitterand 2";723
"Réglementaire";"Chirac";758
"Réglementaire";"de Gaulle 2";81
"Réglementaire";"Giscard";454
"Réglementaire";"de Gaulle";89
"Réglementaire";"Pompidou";140
"Législative";"Giscard";122
"Législative";"Mitterand 2";167
"Législative";"Mitterand";189
"Législative";"de Gaulle 2";14
"Législative";"Pompidou";35
"Législative";"de Gaulle";17
"Législative";"Avant Ve";10
